SCA,,SCA Types,,,,,,GCA,,GCA Types,,,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,
55,JosÃ© Luis RodrÃ­guez Bebanz,uy URU,DF,Vasco da Gama,28-117,1997,2.3,6,2.63,6,0,0,0,0,0,0,0,0,0,0,0,0,0,
56,Luis Benedetti,br BRA,DF,Palmeiras,19-032,2006,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
57,Alexandro Bernabei,ar ARG,DF,Internacional,24-288,2000,7.9,32,4.06,26,0,1,2,1,2,2,0.25,2,0,0,0,0,0,
58,Facundo Bernal,uy URU,MF,Fluminense,21-322,2003,3.3,3,0.91,2,0,1,0,0,0,0,0,0,0,0,0,0,0,
59,Bernard,br BRA,FW,MF,AtlÃ©tico Mineiro,32-304,1992,2.4,15,6.28,12,0,1,0,1,1,0,0,0,0,0,0,0,0
60,Matheus Bianqui,br BRA,MF,FW,Mirassol,27-159,1998,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,Matheus Bidu,br BRA,DF,MF,Corinthians,26-066,1999,4,11,2.75,9,1,0,0,1,0,2,0.5,1,0,0,0,1,0
62,DamiÃ¡n Bobadilla,py PAR,MF,SÃ£o Paulo,23-363,2001,4.4,12,2.7,10,0,0,0,1,1,0,0,0,0,0,0,0,0,
63,Yannick Bolasie,cd COD,FW,Cruzeiro,36-046,1989,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
64,Gabriel Bontempo,br BRA,MF,FW,Santos,20-174,2005,5.4,15,2.75,13,0,0,0,2,0,2,0.37,2,0,0,0,0,0
65,Thiago Borbas,uy URU,FW,MF,RB Bragantino,23-093,2002,1.4,3,2.13,1,0,0,1,0,1,0,0,0,0,0,0,0,0
66,Daniel Borges,br BRA,DF,Mirassol,32-108,1993,2.7,7,2.58,4,2,1,0,0,0,0,0,0,0,0,0,0,0,
67,Marllon Borges,br BRA,DF,CearÃ¡,33-084,1992,11,4,0.36,1,0,0,2,1,0,0,0,0,0,0,0,0,0,
68,Pedro Borges,br BRA,MF,Fortaleza,28-128,1997,0.4,1,2.43,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
69,Rafael BorrÃ©,co COL,FW,Internacional,29-297,1995,3.6,7,1.92,3,0,2,0,1,1,2,0.55,1,0,1,0,0,0,
70,Lucas Braga,br BRA,FW,MF,VitÃ³ria,28-241,1996,2.7,3,1.1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
71,Martin Braithwaite,dk DEN,FW,GrÃªmio,34-034,1991,9.1,28,3.07,20,0,1,4,2,1,3,0.33,1,0,1,0,1,0,
72,Gabriel BrazÃ£o,br BRA,GK,Santos,24-277,2000,12,2,0.17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
73,Breno,br BRA,FW,Fortaleza,29-166,1996,5,31,6.15,16,3,5,2,5,0,1,0.2,0,0,0,0,1,0,
74,Breno,br BRA,MF,Corinthians,20-139,2005,9.1,16,1.76,13,2,0,0,0,1,1,0.11,1,0,0,0,0,0,
75,Emanuel BrÃ­tez,ar ARG,DF,Fortaleza,33-105,1992,1,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,
76,Bruninho,br BRA,MF,Fortaleza,20-028,2005,0.8,1,1.32,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
77,FabrÃ­cio Bruno,br BRA,DF,Cruzeiro,29-147,1996,11,8,0.73,6,0,0,1,0,1,0,0,0,0,0,0,0,0,
78,CacÃ¡,br BRA,DF,Corinthians,26-075,1999,7.7,4,0.52,4,0,0,0,0,0,1,0.13,1,0,0,0,0,0,
79,RaÃºl CÃ¡ceres,py PAR,DF,VitÃ³ria,33-294,1991,2,2,1.01,1,0,0,1,0,0,0,0,0,0,0,0,0,0,
80,Calebe,br BRA,MF,Fortaleza,25-070,2000,2.4,8,3.3,3,4,0,0,1,0,1,0.41,1,0,0,0,0,0,
81,Jonathan Calleri,ar ARG,FW,SÃ£o Paulo,31-289,1993,1.3,3,2.23,2,0,0,0,1,0,0,0,0,0,0,0,0,0,
82,Camilo,br BRA,MF,GrÃªmio,26-136,1999,4.4,4,0.91,3,0,0,1,0,0,1,0.23,0,0,0,1,0,0,
83,GermÃ¡n Cano,ar ARG,FW,Fluminense,37-157,1988,5.3,5,0.95,3,0,0,1,1,0,0,0,0,0,0,0,0,0,
84,AgustÃ­n Canobbio,uy URU,FW,Fluminense,26-281,1998,5.7,10,1.75,7,0,0,2,1,0,2,0.35,0,0,0,1,1,0,
85,Juninho Capixaba,br BRA,DF,RB Bragantino,28-003,1997,11,36,3.27,28,5,0,2,1,0,2,0.18,2,0,0,0,0,0,
86,Johan Carbonero,co COL,FW,Internacional,25-354,1999,1.7,5,2.94,3,0,0,0,2,0,0,0,0,0,0,0,0,0,
87,Edson Carioca,br BRA,FW,Mirassol,28-005,1997,6.2,22,3.54,17,0,3,2,0,0,3,0.48,3,0,0,0,0,0,
88,Igor CariÃºs,br BRA,DF,Sport Recife,32-069,1993,7.2,12,1.67,9,1,0,0,1,1,1,0.14,1,0,0,0,0,0,
89,Carlinhos,br BRA,FW,VitÃ³ria,28-147,1997,1.5,3,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,
