SCA,,SCA Types,,,,,,GCA,,GCA Types,,,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,
367,GonÃ§alo PaciÃªncia,pt POR,FW,Sport Recife,30-342,1994,0.9,2,2.34,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
368,Brahian Palacios,co COL,MF,AtlÃ©tico Mineiro,22-227,2002,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
369,Sergio Palacios,co COL,DF,RB Bragantino,20-145,2005,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
370,Alan Patrick,br BRA,MF,FW,Internacional,34-057,1991,7.1,49,6.86,24,18,5,1,1,0,6,0.84,2,3,1,0,0,0
371,Jair Paula,br BRA,DF,Botafogo (RJ),20-124,2005,11,7,0.64,6,1,0,0,0,0,1,0.09,1,0,0,0,0,0,
372,Patrick de Paula,br BRA,MF,Botafogo (RJ),25-304,1999,3.2,5,1.59,5,0,0,0,0,0,0,0,0,0,0,0,0,0,
373,Paulinho,br BRA,MF,FW,Vasco da Gama,28-182,1997,2.3,4,1.72,2,0,1,0,1,0,0,0,0,0,0,0,0,0
374,Paulinho,br BRA,MF,FW,Palmeiras,24-359,2000,2.5,12,4.82,9,1,2,0,0,0,0,0,0,0,0,0,0,0
375,Caio Paulista,br BRA,DF,AtlÃ©tico Mineiro,27-059,1998,2.3,10,4.27,6,0,2,1,0,1,0,0,0,0,0,0,0,0,
376,Marcos Paulo,br BRA,DF,Juventude,22-172,2003,5.5,5,0.92,4,0,0,1,0,0,1,0.18,1,0,0,0,0,0,
377,Cristian PavÃ³n,ar ARG,FW,MF,GrÃªmio,29-169,1996,3.7,13,3.47,8,1,2,2,0,0,0,0,0,0,0,0,0,0
378,Dimitri Payet,fr FRA,MF,Vasco da Gama,38-102,1987,2.1,11,5.18,6,4,0,0,1,0,2,0.94,1,1,0,0,0,0,
379,Pedro,br BRA,FW,Flamengo,28-019,1997,3.4,12,3.5,7,0,1,2,1,1,4,1.17,2,0,0,1,0,1,
380,JoÃ£o Pedro Chermont,br BRA,DF,Santos,19-172,2006,2.8,7,2.53,7,0,0,0,0,0,0,0,0,0,0,0,0,0,
381,JoÃ£o Pedro,br BRA,DF,Corinthians,21-190,2003,1.5,2,1.33,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
382,JoÃ£o Pedro,br BRA,DF,GrÃªmio,28-236,1996,4.2,4,0.94,4,0,0,0,0,0,0,0,0,0,0,0,0,0,
383,JoÃ£o Pedro PepÃª,br BRA,MF,VitÃ³ria,27-184,1998,2,3,1.52,3,0,0,0,0,0,0,0,0,0,0,0,0,0,
384,Peixoto,br BRA,MF,FW,Juventude,28-009,1997,0.4,1,2.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
385,LÃ©o Pereira,br BRA,DF,Flamengo,29-159,1996,10,5,0.5,5,0,0,0,0,0,1,0.1,1,0,0,0,0,0,
386,Matheus Pereira,br BRA,MF,Cruzeiro,29-065,1996,8.7,52,6,30,14,2,1,4,1,2,0.23,1,0,1,0,0,0,
387,Luan Peres Petroni,br BRA,DF,Santos,30-355,1994,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
388,Pernambuco,br BRA,FW,MF,Juventude,27-072,1998,0.6,3,4.74,3,0,0,0,0,0,0,0,0,0,0,0,0,0
389,Petterson,br BRA,MF,Juventude,21-186,2004,0.9,1,1.13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
390,Yago Pikachu,br BRA,FW,DF,Fortaleza,33-034,1992,8.5,31,3.65,21,4,0,2,3,1,4,0.47,2,0,0,1,1,0
391,JoaquÃ­n Piquerez,uy URU,DF,Palmeiras,26-319,1998,10.5,33,3.14,27,1,2,2,0,1,1,0.1,0,0,1,0,0,0,
392,Rafael Pires,br BRA,GK,SÃ£o Paulo,36-016,1989,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
393,Lucas Piton,br BRA,DF,Vasco da Gama,24-273,2000,11,31,2.82,25,6,0,0,0,0,4,0.36,3,1,0,0,0,0,
394,Isidro Pitta,py PAR,FW,RB Bragantino,25-329,1999,2.8,9,3.23,8,0,1,0,0,0,2,0.72,1,0,1,0,0,0,
395,Diego Pituca,br BRA,MF,Santos,32-328,1992,3.6,11,3.09,9,0,0,0,2,0,1,0.28,1,0,0,0,0,0,
396,Gonzalo Plata,ec ECU,FW,MF,Flamengo,24-250,2000,2.4,12,5.05,12,0,0,0,0,0,0,0,0,0,0,0,0,0
397,Tomas Pochettino,ar ARG,MF,Fortaleza,29-158,1996,4.3,28,6.45,13,9,2,3,1,0,1,0.23,0,1,0,0,0,0,
398,Mateo Ponte,uy URU,DF,Botafogo (RJ),22-046,2003,1.4,5,3.46,5,0,0,0,0,0,0,0,0,0,0,0,0,0,
399,Gustavo Prado,br BRA,FW,MF,Internacional,20-033,2005,2.7,15,5.49,8,1,1,2,3,0,0,0,0,0,0,0,0,0
400,Lucca Prior,br BRA,FW,Fortaleza,21-147,2004,1.2,6,5.19,4,1,0,0,1,0,0,0,0,0,0,0,0,0,
401,Erick Pulga,br BRA,FW,MF,Bahia,24-280,2000,9.5,26,2.72,12,0,8,1,3,2,4,0.42,3,0,1,0,0,0
402,Erick Pulgar,cl CHI,MF,Flamengo,31-175,1994,7.2,11,1.52,9,2,0,0,0,0,2,0.28,2,0,0,0,0,0,
403,Du Queiroz,br BRA,MF,Sport Recife,25-171,2000,6.8,14,2.05,14,0,0,0,0,0,0,0,0,0,0,0,0,0,
404,Igor Rabello,br BRA,DF,FW,AtlÃ©tico Mineiro,30-072,1995,1.1,1,0.91,1,0,0,0,0,0,0,0,0,0,0,0,0,0
405,ZÃ© Rafael,br BRA,MF,Santos,32-023,1993,3.6,4,1.1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,
406,AndrÃ© Ramalho,br BRA,DF,Corinthians,33-143,1992,8,7,0.87,6,0,0,1,0,0,0,0,0,0,0,0,0,0,
407,Eric Ramires,br BRA,MF,RB Bragantino,24-333,2000,8.2,22,2.68,17,0,4,1,0,0,2,0.24,2,0,0,0,0,0,
408,Ramon,br BRA,DF,Internacional,24-118,2001,3.7,7,1.91,6,0,0,1,0,0,0,0,0,0,0,0,0,0,
409,Lucas Ramon,br BRA,DF,Mirassol,31-124,1994,9.2,21,2.29,13,2,2,1,2,1,3,0.33,1,0,0,1,1,0,
410,Santi Ramos Mingo,ar ARG,DF,Bahia,23-230,2001,12,7,0.58,6,0,0,1,0,0,0,0,0,0,0,0,0,0,
411,Rafael Ramos,pt POR,DF,CearÃ¡,30-181,1995,2.9,3,1.03,2,1,0,0,0,0,0,0,0,0,0,0,0,0,
412,Raniele,br BRA,MF,Corinthians,28-190,1996,7,7,1.01,5,0,2,0,0,0,1,0.14,1,0,0,0,0,0,
413,Wellington Rato,br BRA,FW,MF,VitÃ³ria,33-011,1992,2.4,4,1.7,4,0,0,0,0,0,0,0,0,0,0,0,0,0
414,Pedro Raul,br BRA,FW,CearÃ¡,28-246,1996,10.1,20,1.98,18,0,0,1,1,0,1,0.1,1,0,0,0,0,0,
415,Raykkonen,br BRA,FW,Internacional,16-361,2008,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
416,Reginaldo,br BRA,DF,Juventude,32-137,1993,1.2,2,1.62,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
417,Reinaldo,br BRA,DF,Mirassol,35-284,1989,10.1,27,2.67,16,9,2,0,0,0,3,0.3,2,1,0,0,0,0,
418,Cristian Renato,br BRA,FW,Mirassol,25-141,2000,5.5,10,1.82,6,0,2,1,1,0,3,0.55,2,0,1,0,0,0,
419,RenÃª,br BRA,DF,Fluminense,32-298,1992,7.9,21,2.65,17,3,0,0,1,0,1,0.13,0,1,0,0,0,0,
420,Rezende,br BRA,MF,Bahia,30-188,1995,1,3,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,
421,Murilo Rhikman,br BRA,MF,Cruzeiro,19-118,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
422,Everton Ribeiro,br BRA,MF,Bahia,36-090,1989,6.7,24,3.56,20,2,0,1,1,0,2,0.3,2,0,0,0,0,0,
423,Ricardo,br BRA,MF,VitÃ³ria,31-132,1994,6.2,9,1.45,8,0,1,0,0,0,0,0,0,0,0,0,0,0,
424,JoÃ£o Ricardo Riedi,br BRA,GK,Fortaleza,36-306,1988,12,4,0.33,3,1,0,0,0,0,0,0,0,0,0,0,0,0,
425,Charles Rigon Matos,br BRA,DF,MF,Corinthians,29-020,1996,0.8,1,1.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
426,TomÃ¡s RincÃ³n,ve VEN,MF,Santos,37-177,1988,4.7,9,1.91,6,0,1,0,1,1,0,0,0,0,0,0,0,0,
427,Richard RÃ­os,co COL,MF,Palmeiras,25-037,2000,7.1,20,2.8,11,4,1,1,3,0,4,0.56,2,1,1,0,0,0,
428,Riquelme,br BRA,FW,MF,Fluminense,18-118,2007,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
429,Christian Rivera,co COL,MF,Sport Recife,29-176,1996,7.3,5,0.68,5,0,0,0,0,0,0,0,0,0,0,0,0,0,
430,Sergio Rochet,uy URU,GK,Internacional,32-108,1993,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
431,Rodrigo,br BRA,FW,MF,SÃ£o Paulo,21-115,2004,0.8,2,2.57,1,1,0,0,0,0,0,0,0,0,0,0,0,0
432,GuzmÃ¡n RodrÃ­guez,uy URU,DF,RB Bragantino,25-151,2000,11,3,0.27,3,0,0,0,0,0,1,0.09,1,0,0,0,0,0,
433,Luciano RodrÃ­guez,uy URU,FW,Bahia,21-358,2003,5.4,6,1.11,4,0,0,1,1,0,0,0,0,0,0,0,0,0,
434,Santiago RodrÃ­guez,uy URU,MF,FW,Botafogo (RJ),25-182,2000,1.8,8,4.5,5,1,0,2,0,0,1,0.56,0,0,0,1,0,0
435,Rodriguinho,br BRA,FW,Cruzeiro,22-034,2003,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
436,AgustÃ­n Rogel,uy URU,DF,Internacional,27-265,1997,5,5,1,3,0,0,2,0,0,1,0.2,0,0,0,1,0,0,
437,BenjamÃ­n Rollheiser,ar ARG,MF,FW,Santos,25-107,2000,9.9,49,4.93,32,9,2,4,2,0,1,0.1,1,0,0,0,0,0
438,IvÃ¡n RomÃ¡n,cl CHI,DF,AtlÃ©tico Mineiro,18-362,2006,1,4,3.91,2,0,0,2,0,0,1,0.98,0,0,0,1,0,0,
439,Romarinho,br BRA,MF,FW,Sport Recife,31-130,1994,0.7,3,4.15,2,0,0,1,0,0,0,0,0,0,0,0,0,0
440,Ãngel Romero,py PAR,FW,MF,Corinthians,33-005,1992,6.7,12,1.79,10,0,1,1,0,0,2,0.3,2,0,0,0,0,0
441,Lucas Romero,ar ARG,MF,Cruzeiro,31-082,1994,10.5,19,1.81,16,2,0,0,0,1,2,0.19,2,0,0,0,0,0,
442,Ã“scar Romero,py PAR,MF,Internacional,33-005,1992,2.9,15,5.21,11,4,0,0,0,0,1,0.35,1,0,0,0,0,0,
443,Romulo,br BRA,MF,FW,CearÃ¡,23-275,2001,1.4,12,8.85,7,3,0,2,0,0,0,0,0,0,0,0,0,0
444,RÃ´mulo,br BRA,DF,AtlÃ©tico Mineiro,21-159,2004,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
445,Ronald,br BRA,MF,VitÃ³ria,28-021,1997,7.9,23,2.92,20,1,0,0,1,1,1,0.13,0,0,0,0,1,0,
446,Ronald,br BRA,DF,MF,GrÃªmio,22-148,2003,1.6,1,0.63,1,0,0,0,0,0,0,0,0,0,0,0,0,0
447,Ronaldo,br BRA,GK,Bahia,28-321,1996,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
448,Ronaldo,br BRA,MF,Internacional,28-259,1996,7.6,6,0.79,6,0,0,0,0,0,0,0,0,0,0,0,0,0,
449,Budiga Roni,br BRA,MF,Mirassol,26-085,1999,0.9,2,2.14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
450,Rony,br BRA,FW,AtlÃ©tico Mineiro,30-059,1995,11.2,24,2.14,14,0,0,6,4,0,2,0.18,1,0,0,0,1,0,
451,Vitor Roque,br BRA,FW,Palmeiras,20-131,2005,5.6,20,3.56,14,0,1,1,4,0,0,0,0,0,0,0,0,0,
452,Diego Rosa,br BRA,MF,DF,Internacional,22-270,2002,1.9,3,1.56,3,0,0,0,0,0,0,0,0,0,0,0,0,0
453,Matheus Rossetto,br BRA,MF,Fortaleza,29-036,1996,5.6,5,0.89,4,1,0,0,0,0,0,0,0,0,0,0,0,0,
454,AgustÃ­n Rossi,ar ARG,GK,Flamengo,29-322,1995,11,5,0.45,5,0,0,0,0,0,0,0,0,0,0,0,0,0,
455,Ruan,br BRA,DF,SÃ£o Paulo,26-032,1999,4,2,0.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
456,Rubens,br BRA,DF,MF,AtlÃ©tico Mineiro,24-018,2001,10.5,28,2.67,20,0,3,2,1,2,2,0.19,0,0,1,1,0,0
457,Alan Ruschel,br BRA,DF,Juventude,35-320,1989,7.6,16,2.1,7,4,1,0,2,2,0,0,0,0,0,0,0,0,
458,Rwan,br BRA,FW,Botafogo (RJ),24-050,2001,1.9,3,1.61,3,0,0,0,0,0,0,0,0,0,0,0,0,0,
459,JosÃ© Sabino,br BRA,DF,SÃ£o Paulo,28-257,1996,4.6,7,1.52,7,0,0,0,0,0,0,0,0,0,0,0,0,0,
460,Rodrigo Sam,br BRA,DF,Juventude,29-350,1995,4,4,0.99,4,0,0,0,0,0,0,0,0,0,0,0,0,0,
461,Alex Sandro,br BRA,DF,Flamengo,34-164,1991,8.3,17,2.04,15,1,0,1,0,0,1,0.12,1,0,0,0,0,0,
462,AgustÃ­n Sant'Anna,uy URU,DF,RB Bragantino,27-285,1997,1.5,6,4.09,2,3,0,0,0,1,0,0,0,0,0,0,0,0,
463,Alex Santana,br BRA,MF,Corinthians,30-057,1995,1.2,2,1.7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
464,Ademir Santos,br BRA,FW,Bahia,30-143,1995,5.9,19,3.23,11,0,3,0,5,0,0,0,0,0,0,0,0,0,
465,Eduardo Santos,br BRA,DF,FW,RB Bragantino,27-223,1997,2,2,1.02,2,0,0,0,0,0,0,0,0,0,0,0,0,0
466,JÃºnior Santos,br BRA,FW,MF,AtlÃ©tico Mineiro,30-271,1994,1.5,7,4.63,5,0,0,1,1,0,0,0,0,0,0,0,0,0
467,Rodrigo Santos,br BRA,FW,Fortaleza,24-294,2000,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
468,Renzo Saravia,ar ARG,DF,AtlÃ©tico Mineiro,32-023,1993,1.5,5,3.26,1,0,0,1,1,2,0,0,0,0,0,0,0,0,
469,Eduardo Sasha,br BRA,FW,MF,RB Bragantino,33-135,1992,9.6,31,3.24,21,0,2,8,0,0,3,0.31,1,0,0,2,0,0
470,Lucas Sasha,br BRA,MF,Fortaleza,35-130,1990,7.3,9,1.23,8,0,0,1,0,0,0,0,0,0,0,0,0,0,
471,Jefferson Savarino,ve VEN,MF,FW,Botafogo (RJ),28-240,1996,6.5,26,3.97,23,3,0,0,0,0,2,0.31,1,1,0,0,0,0
472,Gustavo Scarpa,br BRA,MF,FW,AtlÃ©tico Mineiro,31-185,1994,10.6,57,5.36,33,20,1,2,1,0,1,0.09,1,0,0,0,0,0
473,JoÃ£o Schmidt,br BRA,MF,Santos,32-051,1993,6.9,10,1.45,9,1,0,0,0,0,1,0.15,1,0,0,0,0,0,
474,Cleiton Schwengber,br BRA,GK,RB Bragantino,27-324,1997,11,1,0.09,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
475,Kevin Serna,co COL,FW,Fluminense,27-204,1997,4,14,3.46,10,0,2,0,2,0,1,0.25,0,0,0,0,1,0,
476,Igor Serrote,br BRA,DF,GrÃªmio,20-130,2005,4.2,3,0.72,2,1,0,0,0,0,0,0,0,0,0,0,0,0,
477,Juan Sforza,ar ARG,MF,Vasco da Gama,23-145,2002,0.8,4,5.07,4,0,0,0,0,0,0,0,0,0,0,0,0,0,
478,Aderlan Silva,br BRA,DF,Santos,34-325,1990,1,2,2.09,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
479,AndrÃ© Silva,br BRA,FW,SÃ£o Paulo,28-036,1997,8.8,20,2.27,16,0,1,3,0,0,2,0.23,2,0,0,0,0,0,
480,Guilherme Silva,br BRA,FW,Corinthians,18-153,2007,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
481,JoÃ£o Silva,pt POR,DF,Sport Recife,26-176,1999,8,4,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,
482,Lucas Silva,br BRA,MF,Cruzeiro,32-143,1993,9.8,23,2.34,19,0,0,4,0,0,2,0.2,2,0,0,0,0,0,
483,Patrick Silva,br BRA,MF,AtlÃ©tico Mineiro,21-112,2004,2.5,2,0.8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
484,Thiago Silva,br BRA,DF,Fluminense,40-290,1984,7,3,0.43,2,0,0,1,0,0,1,0.14,0,0,0,1,0,0,
485,CÃ©dric Soares,pt POR,DF,FW,SÃ£o Paulo,33-312,1991,7,15,2.13,13,2,0,0,0,0,1,0.14,1,0,0,0,0,0
486,Everton Soares,br BRA,FW,MF,Flamengo,29-109,1996,5.6,15,2.7,8,1,4,1,0,1,2,0.36,2,0,0,0,0,0
487,Tiquinho Soares,br BRA,FW,Santos,34-173,1991,7.6,15,1.97,12,0,1,0,2,0,4,0.52,4,0,0,0,0,0,
488,Fernando Sobral,br BRA,MF,CearÃ¡,30-204,1994,8.1,16,1.98,13,1,0,0,2,0,0,0,0,0,0,0,0,0,
489,Yeferson Soteldo,ve VEN,FW,MF,Santos,28-009,1997,3.6,18,4.97,12,1,3,1,1,0,1,0.28,1,0,0,0,0,0
490,Souza,br BRA,DF,Santos,19-023,2006,2.5,3,1.2,2,1,0,0,0,0,2,0.8,1,1,0,0,0,0,
491,Fabiano Souza,br BRA,DF,CearÃ¡,25-117,2000,9.3,12,1.29,10,1,0,0,0,1,3,0.32,3,0,0,0,0,0,
492,Hugo Souza,br BRA,GK,Corinthians,26-159,1999,7,1,0.14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
493,Igor VinÃ­cius de Souza,br BRA,DF,SÃ£o Paulo,28-099,1997,1.8,5,2.74,3,1,0,1,0,0,0,0,0,0,0,0,0,0,
494,Everaldo Stum,br BRA,FW,Fluminense,34-004,1991,5.3,14,2.64,11,0,0,3,0,0,0,0,0,0,0,0,0,0,
495,Bruno Tabata,br BRA,FW,MF,Internacional,28-101,1997,4.8,29,6.07,19,3,3,2,2,0,0,0,0,0,0,0,0,0
496,Gabriel Taliari,br BRA,FW,Juventude,28-087,1997,6,13,2.17,6,0,1,2,4,0,1,0.17,1,0,0,0,0,0,
497,TchÃª TchÃª,br BRA,MF,FW,Vasco da Gama,32-313,1992,6.5,16,2.45,13,1,0,0,2,0,1,0.15,1,0,0,0,0,0
498,Alex Teixeira,br BRA,MF,FW,Vasco da Gama,35-184,1990,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
499,Alex Telles,br BRA,DF,Botafogo (RJ),32-206,1992,6.2,17,2.75,9,5,0,2,1,0,0,0,0,0,0,0,0,0,
500,Thaciano,br BRA,FW,MF,Santos,30-058,1995,3.7,9,2.45,4,0,1,3,0,1,0,0,0,0,0,0,0,0
501,Thalys,br BRA,FW,Palmeiras,20-137,2005,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
502,Tiago,br BRA,FW,MF,Bahia,20-092,2005,1.2,2,1.59,1,0,0,0,1,0,2,1.59,1,0,0,0,1,0
503,Guilherme Tinga,br BRA,DF,Fortaleza,31-311,1993,5,7,1.41,5,2,0,0,0,0,0,0,0,0,0,0,0,0,
504,Titi,br BRA,DF,Fortaleza,37-119,1988,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
505,FÃ©lix Torres Caicedo,ec ECU,DF,Corinthians,28-179,1997,5.1,5,0.98,4,0,1,0,0,0,0,0,0,0,0,0,0,0,
506,Facundo Torres,uy URU,MF,FW,Palmeiras,25-087,2000,7,20,2.84,15,2,1,0,2,0,2,0.28,2,0,0,0,0,0
507,Bruno TubarÃ£o,br BRA,FW,MF,CearÃ¡,30-126,1995,0.4,2,5.45,1,0,0,0,0,1,0,0,0,0,0,0,0,0
508,Enner Valencia,ec ECU,FW,Internacional,35-247,1989,4.6,6,1.3,2,0,1,2,1,0,0,0,0,0,0,0,0,0,
509,Vanderlan,br BRA,DF,Palmeiras,22-305,2002,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
510,Guillermo Varela,uy URU,DF,MF,Flamengo,32-107,1993,3.5,4,1.15,4,0,0,0,0,0,2,0.58,2,0,0,0,0,0
511,Pablo Vegetti,ar ARG,FW,Vasco da Gama,36-267,1988,10.2,6,0.59,3,0,0,3,0,0,1,0.1,0,0,0,1,0,0,
512,Raphael Veiga,br BRA,MF,Palmeiras,30-020,1995,1.8,6,3.27,1,3,0,1,1,0,1,0.55,0,0,0,0,1,0,
513,Fausto Vera,ar ARG,MF,AtlÃ©tico Mineiro,25-105,2000,4.9,12,2.46,12,0,0,0,0,0,1,0.21,1,0,0,0,0,0,
514,Gabriel Veron,br BRA,FW,MF,Santos,22-309,2002,1.4,7,5.12,5,1,0,1,0,0,0,0,0,0,0,0,0,0
515,JoÃ£o Victor,br BRA,DF,Mirassol,27-310,1997,11,10,0.91,8,0,0,1,0,1,0,0,0,0,0,0,0,0,
516,JoÃ£o Victor,br BRA,FW,CearÃ¡,21-073,2004,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
517,JoÃ£o Victor,br BRA,DF,Vasco da Gama,26-357,1998,12,7,0.58,7,0,0,0,0,0,0,0,0,0,0,0,0,0,
518,Viery,br BRA,DF,GrÃªmio,20-188,2005,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
519,Lucas Villalba,ar ARG,DF,Cruzeiro,30-324,1994,8.8,10,1.13,8,0,0,2,0,0,0,0,0,0,0,0,0,0,
520,MathÃ­as Villasanti,py PAR,MF,GrÃªmio,28-166,1997,9.2,18,1.95,14,2,0,1,0,1,0,0,0,0,0,0,0,0,
521,MatÃ­as ViÃ±a,uy URU,DF,Flamengo,27-242,1997,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
522,VitÃ£o,br BRA,DF,Internacional,25-157,2000,10,5,0.5,5,0,0,0,0,0,1,0.1,1,0,0,0,0,0,
523,Vitinho,br BRA,FW,Internacional,26-099,1999,4.2,5,1.2,3,0,0,1,1,0,1,0.24,0,0,0,1,0,0,
524,Vitinho,br BRA,DF,Botafogo (RJ),25-351,1999,9.8,20,2.05,18,1,1,0,0,0,0,0,0,0,0,0,0,0,
525,Rayan Vitor,br BRA,FW,Vasco da Gama,18-340,2006,8.8,25,2.84,13,0,2,4,6,0,4,0.45,2,0,0,1,1,0,
526,Tiago Volpi,br BRA,GK,GrÃªmio,34-202,1990,12,2,0.17,1,1,0,0,0,0,1,0.08,0,1,0,0,0,0,
527,Wagner,br BRA,DF,GrÃªmio,25-351,1999,11.3,4,0.35,4,0,0,0,0,0,1,0.09,1,0,0,0,0,0,
528,Walace,br BRA,MF,Cruzeiro,30-096,1995,1.1,4,3.75,4,0,0,0,0,0,1,0.94,1,0,0,0,0,0,
529,Wallace,br BRA,MF,FW,Flamengo,20-151,2005,0.4,5,12.16,4,0,0,0,1,0,2,4.86,2,0,0,0,0,0
530,Walter,br BRA,GK,Mirassol,37-233,1987,5,2,0.4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
531,Wanderson,br BRA,FW,MF,Cruzeiro,30-275,1994,9.6,41,4.27,24,7,3,5,2,0,3,0.31,3,0,0,0,0,0
532,Deivid Washington,br BRA,FW,Santos,20-034,2005,3.5,7,2.01,5,0,0,0,1,1,1,0.29,1,0,0,0,0,0,
533,JosÃ© Welison,br BRA,MF,Fortaleza,30-120,1995,4.7,9,1.91,9,0,0,0,0,0,0,0,0,0,0,0,0,0,
534,Wendell,br BRA,DF,SÃ£o Paulo,31-354,1993,4.6,10,2.17,8,1,0,0,1,0,0,0,0,0,0,0,0,0,
535,Wesley,br BRA,DF,Flamengo,21-306,2003,7.9,21,2.65,17,0,0,0,4,0,3,0.38,1,0,0,0,2,0,
536,Wesley,br BRA,FW,MF,Internacional,26-101,1999,8.5,28,3.3,15,0,6,3,3,1,3,0.35,2,0,1,0,0,0
537,WÃ©verton,br BRA,GK,Palmeiras,37-208,1987,11,3,0.27,3,0,0,0,0,0,0,0,0,0,0,0,0,0,
538,William,br BRA,DF,Cruzeiro,30-097,1995,5.9,22,3.75,12,6,0,1,2,1,3,0.51,3,0,0,0,0,0,
539,Willian,br BRA,MF,VitÃ³ria,32-054,1993,1.8,3,1.63,3,0,0,0,0,0,0,0,0,0,0,0,0,0,
540,EstÃªvÃ£o Willian,br BRA,MF,FW,Palmeiras,18-076,2007,9.2,43,4.66,25,11,2,3,2,0,3,0.32,2,1,0,0,0,0
541,Mateus Xavier,br BRA,FW,MF,Santos,18-010,2007,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
542,Samuel Xavier,br BRA,DF,Fluminense,35-033,1990,8.2,19,2.3,17,1,0,0,1,0,2,0.24,2,0,0,0,0,0,
543,Yago,br BRA,MF,Mirassol,30-156,1995,4.1,9,2.19,7,0,0,1,1,0,0,0,0,0,0,0,0,0,
544,Yago,br BRA,MF,Internacional,18-154,2007,0.8,4,4.93,2,2,0,0,0,0,0,0,0,0,0,0,0,0,
545,Lukas Zuccarello,br BRA,FW,Vasco da Gama,18-219,2006,0.3,1,3.75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
